"tool","precision","recall","f_measure","overlap","counter_tool","counter_txtwerk","dpa_id"
"ambiverse",0.5714285714285714,0.5333333333333333,0.5517241379310344,8,14,15,"urn:newsml:dpa.com:20090101:170601-99-686072/1"
"ambiverse",0.6153846153846154,0.5333333333333333,0.5714285714285715,8,13,15,"urn:newsml:dpa.com:20090101:170601-99-686825/4"
"ambiverse",0.3333333333333333,0.1111111111111111,0.16666666666666666,2,6,18,"urn:newsml:dpa.com:20090101:170601-99-686948/3"
"ambiverse",0.6666666666666666,0.6666666666666666,0.6666666666666666,2,3,3,"urn:newsml:dpa.com:20090101:170602-99-694584/4"
"ambiverse",0.75,0.5454545454545454,0.631578947368421,6,8,11,"urn:newsml:dpa.com:20090101:170602-99-695043/6"
"ambiverse",0.4,0.2,0.26666666666666666,2,5,10,"urn:newsml:dpa.com:20090101:170602-99-698230/2"
"ambiverse",1,0.25,0.4,4,4,16,"urn:newsml:dpa.com:20090101:170603-99-708352/3"
"ambiverse",0.5,0.4,0.4444444444444445,6,12,15,"urn:newsml:dpa.com:20090101:170604-99-720408/5"
"ambiverse",0.6,0.21428571428571427,0.3157894736842105,3,5,14,"urn:newsml:dpa.com:20090101:170605-99-724036/2"
"ambiverse",0.2897196261682243,0.24603174603174602,0.26609442060085836,31,107,126,"urn:newsml:dpa.com:20090101:170605-99-724867/2"
"ambiverse",0.6666666666666666,0.25,0.36363636363636365,2,3,8,"urn:newsml:dpa.com:20090101:170605-99-725176/3"
"ambiverse",0.391304347826087,0.25,0.3050847457627119,9,23,36,"urn:newsml:dpa.com:20090101:170605-99-727808/5"
